C_only	C_only	C_only	C_only		R-H	R-H	R-H	R-H	R-H		R-H2	R-H2	R-H2	R-H2	R-H2		R-O	R-O	R-O	R-O	R-O		R_OH	R_OH	R_OH	R_OH	R_OH		R-COOH	R-COOH	R-COOH	R-COOH	R-COOH
Functional	System	N_C_vac	Eform (eV)		Functional	System	N_H	N_C_vac	Eform (eV)		Functional	System	N_H2	N_C_vac	Eform (eV)		Functional	System	N_O	N_C_vac	Eform (eV)		Functional	System	N_OH	N_C_vac	Eform (eV)		Functional	System	N_COOH	N_C_vac	Eform (eV)
RPBE	Basal	0	0		RPBE	Basal_top	1	0	1.5456405		optB88	SW_t1	2	0	5.792511		RPBE	Basal_top	1	0	4.270416		RPBE	Basal_top	1	0	2.5150475		RPBE	Basal_top	1	0	3.247073944
RPBE	Stone-Wales (SW)	0	5.124857		RPBE	Basal_top_ap	2	0	3.194938		optB88	SW_t2	2	0	5.792681		RPBE	Basal_bri	1	0	3.504316		RPBE	Basal_bri	1	0	2.7691645		RPBE	Basal_bri	1	0	3.246831944
RPBE	Single Vacancy (SV)	1	7.903553556		RPBE	Basal_top_adj	2	0	1.883141		optB88	SW_t3	2	0	10.040245		RPBE	Basal_hol	1	0	8.960841		RPBE	Basal_hol	1	0	2.7652605		RPBE	Basal_hol	1	0	3.255852944
RPBE	SW - 5MR	1	7.895084556		RPBE	Basal_top_ap	3	0	4.8913935		optB88	SW_t4	2	0	10.518303		RPBE	Basal_bri_adj	2	0	6.541795		RPBE	Basal_top_ap	2	0	4.832858		RPBE	Basal_top_ap	2	0	6.173588889
RPBE	SW - 6MR - 1	1	10.02404856		RPBE	Basal_top_adj	3	0	2.8480195		optB88	SW_t5	2	0	10.491594		RPBE	Basal_bri_ap	2	0	7.003408		RPBE	Basal_top_adj	2	0	5.06503		RPBE	Basal_top_adj	2	0	5.802365889
RPBE	SW - 6MR - 2	1	12.93219556		RPBE	Basal_top_ap	4	0	6.622364		optB88	SV_C16	2	1	5.592947		RPBE	SW_top_557	1	0	7.485239		RPBE	Basal_top_ap	3	0	7.2717465		RPBE	SW_top_557	1	0	6.993373944
RPBE	Double Vacancy (DV)	2	7.734727111		RPBE	Basal_top_adj	4	0	4.049108		optB88	SV_C46	2	1	5.593081		RPBE	SW_top_57	1	0	7.734422		RPBE	Basal_top_adj	3	0	7.5684145		RPBE	SW_top_57	1	0	7.327665944
RPBE	2SV - 1NN	2	12.58353711		RPBE	Basal_top_ap	8	0	14.147352		optB88	SV_C17	2	1	12.933407		RPBE	SW_top_56	1	0	7.681776		RPBE	SW_top_557	1	0	6.4039775		RPBE	SW_top_56	1	0	7.416184944
RPBE	2SV - 2NN	2	15.93016811		RPBE	Basal_top_adj	8	0	6.966571		optB88	SV	4	1	5.694036		RPBE	SW_top_76	1	0	7.73287		RPBE	SW_top_57	1	0	6.7314455		RPBE	SW_top_76	1	0	7.778720944
RPBE	2SV - 3NN	2	14.94302411		RPBE	bri	1	0	1.5447445		optB88	SV	6	1	4.896471		RPBE	SW_bri_5577	1	0	7.484144		RPBE	SW_top_56	1	0	6.8596245		RPBE	SV	1	1	7.6637585
RPBE	555-777	2	6.513310111		RPBE	hol	1	0	5.5464205		optB88	DV_t1	2	2	8.36318		RPBE	SW_bri_557	1	0	7.008877		RPBE	SW_top_76	1	0	7.1262725		RPBE	SV	2	1	9.625211444
RPBE	5555-6-7777	2	7.474562111		RPBE	SW_top_557	1	0	5.4012795		optB88	DV_t2	2	2	9.598831		RPBE	SW_bri_556	1	0	8.38827		RPBE	SW_bri_5577	1	0	6.4054645		RPBE	DV	1	2	9.528333056
RPBE	Triple Vacancy (TV) - 1	3	11.41869267		RPBE	SW_57	1	0	5.6336355		optB88	DV_t3	2	2	8.363746		RPBE	SW_bri_776	1	0	7.743184		RPBE	SW_bri_557	1	0	6.7481285		RPBE	DV_ac	2	2	11.340348
RPBE	Triple Vacancy (TV) - 2	3	13.92600467		RPBE	SW_56	1	0	5.8115905		optB88	DV_t4	2	2	12.654668		RPBE	SW_hol_5	1	0	7.007016		RPBE	SW_bri_556	1	0	6.7274705		RPBE	DV_diag	2	2	11.322738
RPBE	DV+SV - 5MR	3	14.47835967		RPBE	SW_76	1	0	6.0838645		optB88	DV_t1	4	2	6.606423		RPBE	SW_hol_7-1	1	0	7.484689		RPBE	SW_bri_776	1	0	6.7246655		RPBE	555777_top_566	1	2	9.097874056
RPBE	DV+SV - 6MR	3	13.44375467		RPBE	SW_bri_5577	1	0	5.4017645		optB88	DV_t2	4	2	7.267224		RPBE	SW_hol_7-2	1	0	8.27337		RPBE	SW_hol_5	1	0	7.6391365		RPBE	555777_top_576	1	2	8.737697056
RPBE	555-777+SV - 1	3	14.50676867		RPBE	SW_bri_5577	1	0	5.6269345		optB88	DV_t3	4	2	6.926413		RPBE	SV	1	1	5.584061556		RPBE	SW_hol_7-1	1	0	7.8032125		RPBE	555777_top_577	1	2	8.189646056
RPBE	555-777+SV - 2	3	12.46741167		RPBE	SW_bri_556	1	0	5.6365205		optB88	DV	6	2	5.634846		RPBE	SV_sub	1	2	6.215435111		RPBE	SW_hol_7-2	1	0	7.7898295		RPBE	555777_top_766	1	2	8.962499056
RPBE	555-777+SV - 3	3	11.93754367		RPBE	SW_bri_776	1	0	6.0889495		optB88	DV	8	2	3.572997		RPBE	SV_sub	2	3	7.619616667		RPBE	SW	2	0	7.91117		RPBE	555777_top_777	1	2	9.196247056
RPBE	555-777+SV - 4	3	13.53562967		RPBE	SW_hol_5	1	0	11.4708995		optB88	555777_t1	2	2	8.806516		RPBE	SV_sub	3	4	6.672769222		RPBE	SV	1	1	6.849457056		RPBE	555567777_top_577	1	2	9.568439056
RPBE	5555-6-7777+SV-567	3	14.20225267		RPBE	SW_hol_7-1	1	0	9.4251625		optB88	555777_t2	2	2	8.932129		RPBE	DV	1	2	6.215507111		RPBE	SV_st	2	1	5.427314556		RPBE	555567777_top_657	1	2	9.874668056
RPBE	5555-6-7777+SV-566	3	14.99383567		RPBE	SW_hol_7-2	1	0	9.5811625		optB88	555777_t3	2	2	9.08698		RPBE	DV	2	2	6.141247111		RPBE	SV_adj	2	1	7.761121556		RPBE	555567777_top_677	1	2	10.18185706
RPBE	5555-6-7777+SV-5677	3	13.17313967		RPBE	SW_top_1	2	0	5.239316		optB88	555777_t4	2	2	9.087453		RPBE	DV_sub	1	3	9.606796667		RPBE	SV	3	1	8.415639056		RPBE	555567777_top_766	1	2	10.21077706
RPBE	5555-6-7777+SV-6577	3	14.89349667		RPBE	SW_top_2	2	0	5.754275		optB88	555777_t5	2	2	10.543196		RPBE	DV_sub_opp	2	4	8.062302222		RPBE	DV	1	2	8.992189611		RPBE	TV_1	1	3	10.94652961
RPBE	5555-6-7777+SV-766	3	13.90325167		RPBE	SW_top_3	2	0	5.959491		optB88	555777_t1	4	2	6.505885		RPBE	DV_sub_adj	2	4	10.07492522		RPBE	DV_ac	2	2	9.742822111		RPBE	TV_2	1	3	7.772875611
optB88	Basal	0	0		RPBE	SW_top_4	2	0	6.043879		optB88	555777_t2	4	2	10.185257		RPBE	DV_sub	3	5	9.379310778		RPBE	DV_diag	2	2	9.979509111		RPBE	TV_3	1	3	14.02205661
optB88	Stone-Wales (SW)	0	5.267331		RPBE	SW_top_5	2	0	6.530492		optB88	555567777_t1	2	2	11.204695		RPBE	DV_sub	4	6	8.226482333		RPBE	555777_top_566	1	2	8.588494611		RPBE	TV	2	3	13.06772156
optB88	Single Vacancy (SV)	1	7.954130486		RPBE	SW_top_6	2	0	6.079647		optB88	555567777_t2	2	2	11.146551		RPBE	555777_bri_566	1	2	10.07453111		RPBE	555777_top_576	1	2	8.240840611		RPBE	TV	3	3	14.8352525
optB88	SW - 5MR	1	7.944286486		RPBE	SW_top_1	3	0	6.0825385		optB88	555567777_t3	2	2	10.964496		RPBE	555777_bri_576	1	2	9.703196111		RPBE	555777_top_577	1	2	7.576647611		RPBE	555777_SV_1	1	3	12.07966061
optB88	SW - 6MR - 1	1	10.25264349		RPBE	SW_top_2	3	0	6.1129555		optB88	555567777_t4	2	2	11.204075		RPBE	555777_bri_577	1	2	8.875643111		RPBE	555777_top_766	1	2	8.344402611		RPBE	555777_SV_2	1	3	12.86503361
optB88	SW - 6MR - 2	1	13.13629449		RPBE	SW_top_3	3	0	6.8362655		optB88	555567777_t5	2	2	11.875054		RPBE	555777_bri_766	1	2	9.320036111		RPBE	555777_top_777	1	2	8.427638611		RPBE	555777_SV	2	3	13.27115056
optB88	Double Vacancy (DV)	2	7.829926972		RPBE	SW_top_1	4	0	6.088907		optB88	TV_t1	2	3	8.779981		RPBE	555567777_bri_577	1	2	10.06255311		RPBE	555567777_top_577	1	2	8.989872611		RPBE	555777_SV	3	3	15.2874625
optB88	2SV - 1NN	2	12.66969897		RPBE	SW_top_2	4	0	7.098635		optB88	TV_t2	2	3	8.780306		RPBE	555567777_bri_657	1	2	10.32129711		RPBE	555567777_top_657	1	2	9.254057611		RPBE	555777_SV_m3_1	1	3	11.78607061
optB88	2SV - 2NN	2	16.02470097		RPBE	SW_top_3	4	0	7.38076		optB88	TV_t3	2	3	12.0516		RPBE	555567777_bri_677	1	2	10.69003311		RPBE	555567777_top_677	1	2	9.432035611		RPBE	555777_SV_m3_2	1	3	13.20374461
optB88	2SV - 3NN	2	15.07505097		RPBE	SW_top_4	4	0	7.980141		optB88	TV_t4	2	3	11.281953		RPBE	555567777_bri_766	1	2	10.88797311		RPBE	555567777_top_766	1	2	9.494342611		RPBE	555777_SV_m3	2	3	13.77066956
optB88	555-777	2	6.655369972		RPBE	SW_top_5	4	0	7.335615		optB88	TV_t5	2	3	10.668989		RPBE	TV_1	1	3	10.96473767		RPBE	TV_1	1	3	9.743588167		RPBE	555567777_SV_1	1	3	13.95274161
optB88	5555-6-7777	2	7.659565972		RPBE	SW_top_1	8	0	10.580485		optB88	TV_t6	2	3	13.353018		RPBE	TV_2	1	3	9.606974667		RPBE	TV_2	1	3	12.34431917		RPBE	555567777_SV_2	1	3	13.02525161
optB88	Triple Vacancy (TV) - 1	3	11.58631146		RPBE	SW_top_2	8	0	10.656857		optB88	TV	4	3	12.597445		RPBE	TV_3	1	3	9.606850667		RPBE	TV_3	1	3	12.06020117		RPBE	555567777_SV_3	1	3	15.45128361
optB88	Triple Vacancy (TV) - 2	3	14.12039746		RPBE	SV	1	1	6.165209056		optB88	TV_AG	4	3	8.442177		RPBE	TV_1	2	3	7.619616667		RPBE	555777_SV_1	1	3	8.443421167		RPBE	555567777_SV	2	3	14.37937556
optB88	DV+SV - 5MR	3	14.62252546		RPBE	SV	2	1	5.881372556		optB88	TV_AG	6	3	6.348809		RPBE	TV_2	2	3	10.02083367		RPBE	555777_SV_2	1	3	11.19713117		optB88	Basal_top	1	0	2.683162514
optB88	DV+SV - 6MR	3	13.69916346		RPBE	SV	3	1	4.999790056		optB88	TV_pt2_AG	6	3	8.068369		RPBE	TV	3	3	10.47547567		RPBE	555777_SV	2	3	10.51045467		optB88	Basal_bri	1	0	2.683756514
optB88	555-777+SV - 1	3	14.80246546		RPBE	DV	1	2	7.940144611		optB88	TV_AG	10	3	4.526785		RPBE	TV_sub	1	4	9.766797222		RPBE	555777_SV_m3_1	1	3	10.86345817		optB88	Basal_hol	1	0	2.990444514
optB88	555-777+SV - 2	3	12.71582346		RPBE	DV_1	2	2	6.359220111		optB88	555777_SV_t1	2	3	9.95558		RPBE	555777_SV_1	1	3	10.18450067		RPBE	555777_SV_m3_2	1	3	12.48949217		optB88	Basal_top_ap	2	0	5.022110028
optB88	555-777+SV - 3	3	12.16038646		RPBE	DV_2	2	2	9.453497111		optB88	555777_SV_t2	2	3	9.955609		RPBE	555777_SV_2	1	3	10.18503467		RPBE	555567777_SV_1	1	3	9.437196167		optB88	Basal_top_adj	2	0	4.452523028
optB88	555-777+SV - 4	3	13.73825746		RPBE	DV	3	2	5.545903611		optB88	555777_SV_t3	2	3	10.947337		RPBE	555777_SV_3	1	3	13.72767267		RPBE	555567777_SV_2	1	3	12.11296317		optB88	SV	1	1	7.095319
optB88	5555-6-7777+SV-567	3	14.44115846		RPBE	DV	4	2	3.842490111		optB88	555777_SV_t4	2	3	9.955563		RPBE	555777_SV	2	3	12.26817067		RPBE	555567777_SV	2	3	12.00353667		optB88	SV	2	1	8.439462514
optB88	5555-6-7777+SV-566	3	15.26837546		RPBE	555777_top_566	1	2	7.301021611		optB88	555777_SV_t5	2	3	9.955793		RPBE	555777_SV	3	3	16.43659867		optB88	Basal_top	1	0	2.138977		optB88	TV_1	1	3	10.49526797
optB88	5555-6-7777+SV-5677	3	13.34473346		RPBE	555777_top_576	1	2	6.916302611		optB88	555777_SV_t6	2	3	12.861688		RPBE	555777_SV_sub_7MR	1	4	12.63735722		optB88	Basal_bri	1	0	2.539154		optB88	TV_2	1	3	7.139774972
optB88	5555-6-7777+SV-6577	3	15.10297046		RPBE	555777_top_577	1	2	6.288332611		optB88	555777_SV_t7	2	3	12.861502		RPBE	555777_SV_sub_6MR	1	4	10.93828222		optB88	Basal_hol	1	0	2.528908		optB88	TV	2	3	12.01450449
optB88	5555-6-7777+SV-766	3	14.13304546		RPBE	555777_top_766	1	2	7.187927611		optB88	555777_SV_t8	2	3	9.902758		RPBE	555777_SV_sub	2	5	10.61525578		optB88	Basal_top_ap	2	0	4.080882		optB88	555777_SV_1	1	3	11.68958897
					RPBE	555777_top_777	1	2	7.571209611		optB88	555777_SV_t1	4	3	7.752809		RPBE	555777_SV_sub	3	6	10.24863033		optB88	Basal_top_adj	2	0	4.261459		optB88	555777_SV_2	1	3	12.55525897
